opportunity_id,lead_id,account_id,opportunity_type,created_date,close_date,stage,estimated_value_usd,loss_reason
OPP-00240,LEAD-00240,ACC-0240,New Seller Onboarding,2024-03-30,2024-06-09,Closed Won,15507.03,
OPP-00241,LEAD-00241,ACC-0241,New Seller Onboarding,2023-12-16,2024-01-27,Closed Won,53969.18,
OPP-00242,LEAD-00242,ACC-0242,New Seller Onboarding,2023-01-18,2023-01-29,Closed Won,12705.49,
OPP-00243,LEAD-00243,ACC-0243,New Seller Onboarding,2023-01-23,2023-02-16,Closed Won,51659.87,
OPP-00244,LEAD-00244,ACC-0244,New Seller Onboarding,2023-06-16,2023-07-08,Closed Won,15752.74,
OPP-00245,LEAD-00245,ACC-0245,New Seller Onboarding,2022-05-24,2022-07-31,Closed Won,47194.74,
OPP-00246,LEAD-00246,ACC-0246,New Seller Onboarding,2021-03-22,2021-03-30,Closed Won,58343.18,
OPP-00247,LEAD-00247,ACC-0247,New Seller Onboarding,2021-09-12,2021-10-26,Closed Won,14493.9,
OPP-00248,LEAD-00248,ACC-0248,New Seller Onboarding,2024-07-04,2024-07-15,Closed Won,13292.75,
OPP-00249,LEAD-00249,ACC-0249,New Seller Onboarding,2023-05-14,2023-06-06,Closed Won,196055.45,
OPP-00250,LEAD-00250,ACC-0250,New Seller Onboarding,2022-07-22,2022-07-30,Closed Won,175245.39,
OPP-00251,LEAD-00251,ACC-0251,New Seller Onboarding,2021-02-20,2021-02-27,Closed Won,58805.25,
OPP-00252,LEAD-00252,ACC-0252,New Seller Onboarding,2022-12-15,2023-01-03,Closed Won,14823.76,
OPP-00253,LEAD-00253,ACC-0253,New Seller Onboarding,2024-03-03,2024-04-23,Closed Won,57681.36,
OPP-00254,LEAD-00254,ACC-0254,New Seller Onboarding,2022-12-17,2022-12-30,Closed Won,65980.04,
OPP-00255,LEAD-00255,ACC-0255,New Seller Onboarding,2021-02-19,2021-03-23,Closed Won,573985.85,
OPP-00256,LEAD-00256,ACC-0256,New Seller Onboarding,2022-02-06,2022-03-07,Closed Won,13603.66,
OPP-00257,LEAD-00257,ACC-0257,New Seller Onboarding,2021-01-12,2021-02-23,Closed Won,17840.91,
OPP-00258,LEAD-00258,ACC-0258,New Seller Onboarding,2024-07-05,2024-08-04,Closed Won,188424.57,
OPP-00259,LEAD-00259,ACC-0259,New Seller Onboarding,2021-05-16,2021-07-18,Closed Won,48729.69,
OPP-00260,LEAD-00260,ACC-0260,New Seller Onboarding,2023-04-26,2023-06-19,Closed Won,15717.95,
OPP-00261,LEAD-00261,,New Seller Onboarding,2024-10-24,2024-11-10,Closed Lost,27595.88,Chose Competitor
OPP-00262,LEAD-00262,,New Seller Onboarding,2021-01-23,2021-03-01,Closed Lost,110184.41,Timing Not Right
OPP-00263,LEAD-00264,,New Seller Onboarding,2024-10-03,2024-10-13,Closed Lost,198479.24,Timing Not Right
OPP-00264,LEAD-00265,,New Seller Onboarding,2021-08-24,2021-09-08,Closed Lost,28447.07,Price Too High
OPP-00265,LEAD-00270,,New Seller Onboarding,2023-08-18,2023-09-10,Closed Lost,96054.65,Poor Fit
OPP-00266,LEAD-00272,,New Seller Onboarding,2021-12-05,2021-12-28,Closed Lost,117788.77,Price Too High
OPP-00267,LEAD-00273,,New Seller Onboarding,2023-08-26,2023-09-11,Closed Lost,83854.85,Chose Competitor
OPP-00268,LEAD-00276,,New Seller Onboarding,2023-12-14,2024-01-18,Closed Lost,49404.98,No Response
OPP-00269,LEAD-00281,,New Seller Onboarding,2023-08-10,2023-08-27,Closed Lost,112541.19,No Response
OPP-00270,LEAD-00284,,New Seller Onboarding,2024-09-15,2024-10-02,Closed Lost,105276.18,Timing Not Right
OPP-00271,LEAD-00285,,New Seller Onboarding,2023-12-30,2024-01-22,Closed Lost,85016.71,Poor Fit
OPP-00272,LEAD-00286,,New Seller Onboarding,2023-10-13,2023-11-06,Closed Lost,49978.3,No Response
OPP-00273,LEAD-00287,,New Seller Onboarding,2021-10-24,2021-11-14,Closed Lost,53044.1,Chose Competitor
OPP-00274,LEAD-00294,,New Seller Onboarding,2021-09-17,2021-09-28,Closed Lost,82239.18,No Response
OPP-00275,LEAD-00300,,New Seller Onboarding,2022-11-14,2022-12-18,Closed Lost,92739.6,Poor Fit
OPP-00276,LEAD-00301,,New Seller Onboarding,2024-09-09,2024-09-21,Closed Lost,148128.02,Chose Competitor
OPP-00277,LEAD-00307,,New Seller Onboarding,2024-04-09,2024-04-22,Closed Lost,132238.99,Timing Not Right
OPP-00278,LEAD-00310,,New Seller Onboarding,2022-07-15,2022-08-16,Closed Lost,144862.32,Timing Not Right
OPP-00279,LEAD-00311,,New Seller Onboarding,2021-10-25,2021-11-28,Closed Lost,190094.61,No Response
OPP-00280,LEAD-00312,,New Seller Onboarding,2021-02-13,2021-02-27,Closed Lost,187402.14,No Response
OPP-00281,LEAD-00313,,New Seller Onboarding,2022-04-11,2022-04-27,Closed Lost,114885.09,Poor Fit
OPP-00282,LEAD-00314,,New Seller Onboarding,2023-02-22,2023-03-23,Closed Lost,66255.31,Poor Fit
OPP-00283,LEAD-00316,,New Seller Onboarding,2023-12-01,2023-12-27,Closed Lost,83551.4,Poor Fit
OPP-00284,LEAD-00317,,New Seller Onboarding,2022-09-29,2022-11-10,Closed Lost,91848.7,Chose Competitor
OPP-00285,LEAD-00318,,New Seller Onboarding,2024-08-25,2024-09-08,Closed Lost,143541.61,No Response
OPP-00286,LEAD-00321,,New Seller Onboarding,2022-07-04,2022-07-21,Closed Lost,38802.43,Price Too High
OPP-00287,LEAD-00323,,New Seller Onboarding,2021-11-23,2021-12-20,Closed Lost,127664.6,Chose Competitor
OPP-00288,LEAD-00324,,New Seller Onboarding,2024-09-07,2024-10-18,Closed Lost,82939.07,Price Too High
OPP-00289,LEAD-00326,,New Seller Onboarding,2021-12-28,2022-02-01,Closed Lost,60302.43,Timing Not Right
OPP-00290,LEAD-00330,,New Seller Onboarding,2023-08-17,2023-09-04,Closed Lost,61060.54,Chose Competitor
OPP-00291,LEAD-00331,,New Seller Onboarding,2021-10-04,2021-11-03,Closed Lost,94348.2,Price Too High
OPP-00292,LEAD-00332,,New Seller Onboarding,2023-04-19,2023-05-13,Closed Lost,147977.66,Poor Fit
OPP-00293,LEAD-00334,,New Seller Onboarding,2024-07-21,2024-08-16,Closed Lost,29013.98,Price Too High
OPP-00294,LEAD-00337,,New Seller Onboarding,2022-07-18,2022-08-03,Closed Lost,59033.93,Timing Not Right
OPP-00295,LEAD-00338,,New Seller Onboarding,2024-05-04,2024-06-11,Closed Lost,60879.95,Timing Not Right
OPP-00296,LEAD-00339,,New Seller Onboarding,2021-07-05,2021-08-13,Closed Lost,127942.03,Timing Not Right
OPP-00297,LEAD-00341,,New Seller Onboarding,2024-11-02,2024-12-07,Closed Lost,113211.37,Chose Competitor
OPP-00298,LEAD-00344,,New Seller Onboarding,2023-07-19,2023-08-22,Closed Lost,127695.73,Timing Not Right
OPP-00299,LEAD-00345,,New Seller Onboarding,2021-11-24,2021-12-07,Closed Lost,125888.48,Timing Not Right
OPP-00300,LEAD-00347,,New Seller Onboarding,2021-03-03,2021-03-23,Closed Lost,183590.49,No Response
OPP-00301,LEAD-00350,,New Seller Onboarding,2022-04-07,2022-04-19,Closed Lost,174107.0,Price Too High
OPP-00302,LEAD-00353,,New Seller Onboarding,2023-01-20,2023-01-30,Closed Lost,28324.48,No Response
OPP-00303,LEAD-00354,,New Seller Onboarding,2021-10-02,2021-11-07,Closed Lost,112381.16,Poor Fit
OPP-00304,LEAD-00357,,New Seller Onboarding,2022-09-14,2022-10-28,Closed Lost,159408.99,Chose Competitor
OPP-00305,LEAD-00359,,New Seller Onboarding,2024-03-13,2024-04-19,Closed Lost,164618.37,Chose Competitor
OPP-00306,LEAD-00362,,New Seller Onboarding,2021-09-18,2021-10-13,Closed Lost,87990.51,Poor Fit
OPP-00307,LEAD-00363,,New Seller Onboarding,2022-10-11,2022-10-25,Closed Lost,31686.49,Chose Competitor
OPP-00308,LEAD-00365,,New Seller Onboarding,2024-08-14,2024-09-01,Closed Lost,177364.14,No Response
OPP-00309,LEAD-00366,,New Seller Onboarding,2022-09-03,2022-09-28,Closed Lost,196836.45,Chose Competitor
OPP-00310,LEAD-00368,,New Seller Onboarding,2022-06-25,2022-07-08,Closed Lost,127007.66,Poor Fit
OPP-00311,LEAD-00372,,New Seller Onboarding,2023-10-15,2023-11-07,Closed Lost,166811.14,Price Too High
OPP-00312,LEAD-00373,,New Seller Onboarding,2024-05-19,2024-06-23,Closed Lost,130887.04,Chose Competitor
OPP-00313,LEAD-00374,,New Seller Onboarding,2021-09-22,2021-11-02,Closed Lost,144251.89,Chose Competitor
OPP-00314,LEAD-00377,,New Seller Onboarding,2023-12-07,2024-01-13,Closed Lost,36616.54,No Response
OPP-00315,LEAD-00378,,New Seller Onboarding,2023-08-14,2023-08-31,Closed Lost,95025.05,Timing Not Right
OPP-00316,LEAD-00380,,New Seller Onboarding,2023-09-30,2023-11-11,Closed Lost,26562.89,Poor Fit
OPP-00317,LEAD-00383,,New Seller Onboarding,2021-07-14,2021-08-14,Closed Lost,105748.88,Timing Not Right
OPP-00318,LEAD-00384,,New Seller Onboarding,2024-02-14,2024-03-16,Closed Lost,196068.02,Price Too High
OPP-00319,LEAD-00385,,New Seller Onboarding,2022-04-27,2022-05-18,Closed Lost,51686.63,Timing Not Right
OPP-00320,LEAD-00387,,New Seller Onboarding,2023-06-09,2023-07-02,Closed Lost,195902.27,Chose Competitor
OPP-00321,LEAD-00393,,New Seller Onboarding,2023-08-04,2023-09-10,Closed Lost,103325.53,Chose Competitor
OPP-00322,LEAD-00394,,New Seller Onboarding,2021-11-20,2021-12-22,Closed Lost,23504.09,Price Too High
OPP-00323,LEAD-00395,,New Seller Onboarding,2022-02-28,2022-03-27,Closed Lost,97534.69,Timing Not Right
OPP-00324,LEAD-00396,,New Seller Onboarding,2024-05-13,2024-05-25,Closed Lost,53547.41,Poor Fit
OPP-00325,LEAD-00398,,New Seller Onboarding,2022-08-15,2022-09-05,Closed Lost,27570.07,No Response
OPP-00326,LEAD-00400,,New Seller Onboarding,2022-02-15,2022-03-09,Closed Lost,55052.85,Chose Competitor
OPP-00327,LEAD-00403,,New Seller Onboarding,2021-05-13,2021-06-10,Closed Lost,55936.7,Price Too High
OPP-00328,LEAD-00409,,New Seller Onboarding,2022-10-14,2022-11-11,Closed Lost,121457.1,Price Too High
OPP-00329,LEAD-00413,,New Seller Onboarding,2022-01-14,2022-02-22,Closed Lost,84814.38,Price Too High
OPP-00330,LEAD-00414,,New Seller Onboarding,2024-09-13,2024-10-08,Closed Lost,138024.53,Timing Not Right
OPP-00331,LEAD-00416,,New Seller Onboarding,2022-04-11,2022-04-23,Closed Lost,124314.8,No Response
OPP-00332,LEAD-00420,,New Seller Onboarding,2024-09-03,2024-10-06,Closed Lost,10847.49,Poor Fit
OPP-00333,LEAD-00423,,New Seller Onboarding,2024-04-28,2024-05-26,Closed Lost,190529.1,Poor Fit
OPP-00334,LEAD-00425,,New Seller Onboarding,2023-10-26,2023-11-08,Closed Lost,121275.98,Poor Fit
OPP-00335,LEAD-00428,,New Seller Onboarding,2024-05-09,2024-06-15,Closed Lost,50480.96,Timing Not Right
OPP-00336,LEAD-00430,,New Seller Onboarding,2024-09-16,2024-10-11,Closed Lost,103865.18,Poor Fit
OPP-00337,LEAD-00431,,New Seller Onboarding,2023-09-02,2023-09-23,Closed Lost,72290.7,Price Too High
OPP-00338,LEAD-00437,,New Seller Onboarding,2023-04-07,2023-05-07,Closed Lost,124826.23,Price Too High
OPP-00339,LEAD-00439,,New Seller Onboarding,2023-06-07,2023-06-30,Closed Lost,29802.12,Chose Competitor
OPP-00340,LEAD-00440,,New Seller Onboarding,2022-06-05,2022-07-11,Closed Lost,170603.89,Timing Not Right
OPP-00341,LEAD-00444,,New Seller Onboarding,2024-02-03,2024-03-11,Closed Lost,195780.87,No Response
OPP-00342,LEAD-00445,,New Seller Onboarding,2023-10-29,2023-11-08,Closed Lost,46469.25,Chose Competitor
OPP-00343,LEAD-00447,,New Seller Onboarding,2021-11-14,2021-12-10,Closed Lost,93500.46,Poor Fit
OPP-00344,LEAD-00452,,New Seller Onboarding,2022-06-06,2022-06-21,Closed Lost,13850.36,Timing Not Right
OPP-00345,LEAD-00454,,New Seller Onboarding,2022-11-19,2022-11-29,Closed Lost,153430.86,No Response
OPP-00346,LEAD-00457,,New Seller Onboarding,2022-12-10,2023-01-19,Closed Lost,42928.85,Poor Fit
OPP-00347,LEAD-00460,,New Seller Onboarding,2023-03-02,2023-03-13,Closed Lost,165850.24,Poor Fit
OPP-00348,LEAD-00462,,New Seller Onboarding,2023-02-04,2023-03-20,Closed Lost,116581.65,Timing Not Right
OPP-00349,LEAD-00463,,New Seller Onboarding,2022-03-18,2022-04-16,Closed Lost,181622.49,Chose Competitor
OPP-00350,LEAD-00466,,New Seller Onboarding,2021-09-04,2021-09-22,Closed Lost,88585.23,Poor Fit
OPP-00351,LEAD-00469,,New Seller Onboarding,2022-03-27,2022-04-06,Closed Lost,161136.02,Price Too High
OPP-00352,LEAD-00470,,New Seller Onboarding,2024-02-27,2024-04-02,Closed Lost,178156.1,Price Too High
OPP-00353,LEAD-00472,,New Seller Onboarding,2022-05-17,2022-06-01,Closed Lost,12166.22,Timing Not Right
OPP-00354,LEAD-00475,,New Seller Onboarding,2021-01-17,2021-02-24,Closed Lost,26581.23,Poor Fit
OPP-00355,LEAD-00476,,New Seller Onboarding,2021-10-01,2021-10-31,Closed Lost,61661.81,Timing Not Right
OPP-00356,LEAD-00481,,New Seller Onboarding,2023-08-24,2023-09-28,Closed Lost,130399.44,Price Too High
OPP-00357,LEAD-00485,,New Seller Onboarding,2023-11-18,2023-12-27,Closed Lost,60248.7,Timing Not Right
OPP-00358,LEAD-00492,,New Seller Onboarding,2021-02-04,2021-03-17,Closed Lost,176012.78,Timing Not Right
OPP-00359,LEAD-00493,,New Seller Onboarding,2021-11-12,2021-12-17,Closed Lost,41642.82,Price Too High
OPP-00360,LEAD-00494,,New Seller Onboarding,2023-12-13,2024-01-19,Closed Lost,10131.28,Chose Competitor
OPP-00361,LEAD-00496,,New Seller Onboarding,2023-12-06,2024-01-19,Closed Lost,183373.72,Poor Fit
OPP-00362,LEAD-00499,,New Seller Onboarding,2021-06-13,2021-06-26,Closed Lost,197085.88,No Response
OPP-00363,LEAD-00500,,New Seller Onboarding,2021-06-29,2021-07-31,Closed Lost,153025.48,Price Too High
OPP-00364,LEAD-00503,,New Seller Onboarding,2021-05-01,2021-05-11,Closed Lost,29722.76,No Response
OPP-00365,LEAD-00506,,New Seller Onboarding,2023-10-23,2023-11-29,Closed Lost,25841.66,Timing Not Right
OPP-00366,LEAD-00510,,New Seller Onboarding,2023-02-21,2023-04-01,Closed Lost,137636.16,Chose Competitor
OPP-00367,LEAD-00513,,New Seller Onboarding,2024-04-10,2024-05-14,Closed Lost,150176.96,Chose Competitor
OPP-00368,LEAD-00520,,New Seller Onboarding,2022-02-25,2022-03-13,Closed Lost,109629.48,No Response
OPP-00369,LEAD-00521,,New Seller Onboarding,2023-03-02,2023-03-18,Closed Lost,39397.21,Chose Competitor
OPP-00370,LEAD-00524,,New Seller Onboarding,2022-07-16,2022-08-05,Closed Lost,17702.37,Chose Competitor
OPP-00371,LEAD-00526,,New Seller Onboarding,2022-06-01,2022-07-01,Closed Lost,110091.67,Chose Competitor
OPP-00372,LEAD-00527,,New Seller Onboarding,2021-05-22,2021-06-22,Closed Lost,61542.42,Timing Not Right
OPP-00373,LEAD-00528,,New Seller Onboarding,2021-04-01,2021-04-30,Closed Lost,58583.75,Poor Fit
OPP-00374,LEAD-00536,,New Seller Onboarding,2021-07-11,2021-07-22,Closed Lost,148083.9,Poor Fit
OPP-00375,LEAD-00540,,New Seller Onboarding,2024-02-10,2024-03-24,Closed Lost,62122.47,Chose Competitor
OPP-00376,LEAD-00541,,New Seller Onboarding,2021-03-08,2021-04-10,Closed Lost,120348.03,Timing Not Right
OPP-00377,LEAD-00542,,New Seller Onboarding,2022-10-30,2022-11-26,Closed Lost,63487.09,Chose Competitor
OPP-00378,LEAD-00551,,New Seller Onboarding,2022-01-20,2022-01-31,Closed Lost,40103.48,Chose Competitor
OPP-00379,LEAD-00553,,New Seller Onboarding,2024-03-14,2024-04-06,Closed Lost,25669.14,Chose Competitor
OPP-00380,LEAD-00554,,New Seller Onboarding,2023-12-12,2024-01-22,Closed Lost,94531.48,Poor Fit
OPP-00381,LEAD-00556,,New Seller Onboarding,2024-06-03,2024-06-28,Closed Lost,168910.35,Price Too High
OPP-00382,LEAD-00564,,New Seller Onboarding,2022-09-11,2022-09-26,Closed Lost,107614.37,Timing Not Right
OPP-00383,LEAD-00567,,New Seller Onboarding,2021-05-04,2021-05-17,Closed Lost,105543.98,Timing Not Right
OPP-00384,LEAD-00571,,New Seller Onboarding,2024-01-17,2024-02-15,Closed Lost,187775.87,Timing Not Right
OPP-00385,LEAD-00575,,New Seller Onboarding,2024-09-30,2024-10-28,Closed Lost,32570.52,Chose Competitor
OPP-00386,LEAD-00577,,New Seller Onboarding,2022-06-22,2022-08-02,Closed Lost,51695.5,Timing Not Right
OPP-00387,LEAD-00580,,New Seller Onboarding,2023-03-22,2023-04-14,Closed Lost,115779.78,No Response
OPP-00388,LEAD-00583,,New Seller Onboarding,2021-06-07,2021-07-20,Closed Lost,185350.37,Timing Not Right
OPP-00389,LEAD-00586,,New Seller Onboarding,2022-05-25,2022-06-09,Closed Lost,56199.72,Timing Not Right
OPP-00390,LEAD-00588,,New Seller Onboarding,2022-06-22,2022-07-14,Closed Lost,140976.77,Poor Fit
OPP-00391,LEAD-00597,,New Seller Onboarding,2024-05-01,2024-05-14,Closed Lost,176342.57,Timing Not Right
OPP-00392,LEAD-00600,,New Seller Onboarding,2022-04-06,2022-04-18,Closed Lost,111222.4,Timing Not Right
OPP-00393,LEAD-00601,,New Seller Onboarding,2022-02-11,2022-03-19,Closed Lost,173288.94,Chose Competitor
OPP-00394,LEAD-00604,,New Seller Onboarding,2022-09-30,2022-10-14,Closed Lost,16206.43,Price Too High
OPP-00395,LEAD-00607,,New Seller Onboarding,2024-09-02,2024-09-18,Closed Lost,28746.77,Price Too High
OPP-00396,LEAD-00608,,New Seller Onboarding,2023-11-28,2024-01-04,Closed Lost,145528.34,No Response
OPP-00397,LEAD-00610,,New Seller Onboarding,2022-08-11,2022-09-15,Closed Lost,42853.79,Poor Fit
OPP-00398,LEAD-00611,,New Seller Onboarding,2021-10-28,2021-11-21,Closed Lost,36016.09,Poor Fit
OPP-00399,LEAD-00615,,New Seller Onboarding,2022-08-11,2022-09-12,Closed Lost,191982.57,No Response
OPP-00400,LEAD-00617,,New Seller Onboarding,2024-01-15,2024-02-11,Closed Lost,126065.98,Timing Not Right
OPP-00401,LEAD-00620,,New Seller Onboarding,2022-07-17,2022-08-01,Closed Lost,74035.5,Chose Competitor
OPP-00402,LEAD-00628,,New Seller Onboarding,2021-03-17,2021-04-09,Closed Lost,71236.78,No Response
OPP-00403,LEAD-00632,,New Seller Onboarding,2022-09-04,2022-10-11,Closed Lost,133873.84,Timing Not Right
OPP-00404,LEAD-00635,,New Seller Onboarding,2021-05-07,2021-06-20,Closed Lost,157732.29,Price Too High
OPP-00405,LEAD-00639,,New Seller Onboarding,2021-12-07,2021-12-27,Closed Lost,139618.71,Chose Competitor
OPP-00406,LEAD-00641,,New Seller Onboarding,2023-07-18,2023-08-27,Closed Lost,141713.54,Chose Competitor
OPP-00407,LEAD-00643,,New Seller Onboarding,2024-06-16,2024-07-11,Closed Lost,22333.05,Price Too High
OPP-00408,LEAD-00645,,New Seller Onboarding,2021-05-08,2021-06-02,Closed Lost,186387.66,Price Too High
OPP-00409,LEAD-00646,,New Seller Onboarding,2022-06-21,2022-07-06,Closed Lost,22090.97,Price Too High
OPP-00410,LEAD-00649,,New Seller Onboarding,2022-08-01,2022-08-23,Closed Lost,32866.36,Timing Not Right
OPP-00411,LEAD-00654,,New Seller Onboarding,2021-04-12,2021-04-23,Closed Lost,142075.88,Poor Fit
OPP-00412,LEAD-00657,,New Seller Onboarding,2024-10-22,2024-11-29,Closed Lost,121876.4,Poor Fit
OPP-00413,LEAD-00658,,New Seller Onboarding,2024-09-03,2024-09-19,Closed Lost,81906.63,Chose Competitor
OPP-00414,LEAD-00660,,New Seller Onboarding,2023-01-11,2023-02-19,Closed Lost,185736.69,Price Too High
OPP-00415,LEAD-00661,,New Seller Onboarding,2023-07-07,2023-07-23,Closed Lost,130853.09,Chose Competitor
OPP-00416,LEAD-00662,,New Seller Onboarding,2023-04-23,2023-05-09,Closed Lost,150580.18,Timing Not Right
OPP-00417,LEAD-00663,,New Seller Onboarding,2024-09-09,2024-10-18,Closed Lost,152674.2,Poor Fit
OPP-00418,LEAD-00664,,New Seller Onboarding,2021-02-12,2021-03-19,Closed Lost,37106.83,Poor Fit
OPP-00419,LEAD-00665,,New Seller Onboarding,2023-09-07,2023-10-11,Closed Lost,150952.0,No Response
OPP-00420,LEAD-00666,,New Seller Onboarding,2023-08-13,2023-09-25,Closed Lost,129870.06,Chose Competitor
OPP-00421,LEAD-00667,,New Seller Onboarding,2024-04-08,2024-05-11,Closed Lost,15778.56,No Response
OPP-00422,LEAD-00670,,New Seller Onboarding,2021-06-26,2021-08-02,Closed Lost,155456.21,Poor Fit
OPP-00423,LEAD-00674,,New Seller Onboarding,2024-09-28,2024-10-28,Closed Lost,175264.11,Price Too High
OPP-00424,LEAD-00675,,New Seller Onboarding,2022-02-21,2022-03-06,Closed Lost,115271.44,Chose Competitor
OPP-00425,LEAD-00679,,New Seller Onboarding,2024-03-26,2024-04-20,Closed Lost,72208.55,Poor Fit
OPP-00426,LEAD-00680,,New Seller Onboarding,2023-08-10,2023-08-25,Closed Lost,80082.77,No Response
OPP-00427,LEAD-00686,,New Seller Onboarding,2021-09-26,2021-10-07,Closed Lost,49600.06,Price Too High
OPP-00428,LEAD-00687,,New Seller Onboarding,2022-12-21,2023-02-02,Closed Lost,23725.28,Price Too High
OPP-00429,LEAD-00688,,New Seller Onboarding,2023-08-06,2023-09-03,Closed Lost,152044.61,No Response
OPP-00430,LEAD-00690,,New Seller Onboarding,2021-05-20,2021-06-28,Closed Lost,80663.0,Timing Not Right
OPP-00431,LEAD-00691,,New Seller Onboarding,2023-11-05,2023-11-22,Closed Lost,160844.43,Chose Competitor
OPP-00432,LEAD-00692,,New Seller Onboarding,2021-09-17,2021-09-27,Closed Lost,168776.09,Timing Not Right
OPP-00433,LEAD-00693,,New Seller Onboarding,2023-12-11,2024-01-03,Closed Lost,64121.26,Poor Fit
OPP-00434,LEAD-00694,,New Seller Onboarding,2023-11-23,2023-12-20,Closed Lost,133443.77,No Response
OPP-00435,LEAD-00698,,New Seller Onboarding,2024-10-24,2024-11-13,Closed Lost,71242.55,Price Too High
OPP-00436,LEAD-00699,,New Seller Onboarding,2023-11-03,2023-11-26,Closed Lost,121915.22,No Response
OPP-00437,LEAD-00700,,New Seller Onboarding,2021-11-18,2021-12-26,Closed Lost,114905.89,Chose Competitor
OPP-00438,LEAD-00706,,New Seller Onboarding,2021-10-05,2021-11-12,Closed Lost,93544.15,Price Too High
OPP-00439,LEAD-00707,,New Seller Onboarding,2022-06-24,2022-07-19,Closed Lost,53783.43,Poor Fit
OPP-00440,LEAD-00711,,New Seller Onboarding,2023-11-01,2023-11-24,Closed Lost,188948.69,No Response
OPP-00441,LEAD-00712,,New Seller Onboarding,2021-08-20,2021-09-16,Closed Lost,30520.87,Timing Not Right
OPP-00442,LEAD-00717,,New Seller Onboarding,2021-11-05,2021-12-10,Closed Lost,178172.63,Chose Competitor
OPP-00443,LEAD-00718,,New Seller Onboarding,2023-07-31,2023-08-15,Closed Lost,134003.67,Poor Fit
OPP-00444,LEAD-00722,,New Seller Onboarding,2022-03-23,2022-04-17,Closed Lost,188714.57,No Response
OPP-00445,LEAD-00725,,New Seller Onboarding,2023-11-27,2023-12-13,Closed Lost,62664.23,Poor Fit
OPP-00446,LEAD-00728,,New Seller Onboarding,2022-07-03,2022-07-23,Closed Lost,188115.62,Timing Not Right
OPP-00447,LEAD-00731,,New Seller Onboarding,2022-01-30,2022-02-20,Closed Lost,146288.96,Chose Competitor
OPP-00448,LEAD-00737,,New Seller Onboarding,2024-04-26,2024-05-12,Closed Lost,44502.42,Price Too High
OPP-00449,LEAD-00738,,New Seller Onboarding,2021-10-26,2021-11-11,Closed Lost,88600.16,Chose Competitor
OPP-00450,LEAD-00740,,New Seller Onboarding,2021-12-30,2022-01-16,Closed Lost,94335.37,Timing Not Right
OPP-00451,LEAD-00741,,New Seller Onboarding,2024-08-23,2024-09-05,Closed Lost,57959.11,Timing Not Right
OPP-00452,LEAD-00742,,New Seller Onboarding,2023-12-24,2024-02-05,Closed Lost,51850.87,Price Too High
OPP-00453,LEAD-00743,,New Seller Onboarding,2024-06-30,2024-08-01,Closed Lost,93528.23,Price Too High
OPP-00454,LEAD-00745,,New Seller Onboarding,2022-01-31,2022-02-25,Closed Lost,65977.21,No Response
OPP-00455,LEAD-00749,,New Seller Onboarding,2022-09-15,2022-10-19,Closed Lost,155080.8,Price Too High
OPP-00456,LEAD-00753,,New Seller Onboarding,2022-03-23,2022-04-06,Closed Lost,199549.94,Price Too High
OPP-00457,LEAD-00754,,New Seller Onboarding,2024-06-03,2024-06-25,Closed Lost,130426.45,Timing Not Right
OPP-00458,,ACC-0235,Account Expansion,2023-01-12,2023-02-23,Closed Lost,99209.77,Chose Competitor
OPP-00459,,ACC-0122,Account Expansion,2023-12-20,2024-02-12,Closed Won,180614.8,
OPP-00460,,ACC-0258,Account Expansion,2023-04-13,,Proposal,174587.7,
OPP-00461,,ACC-0177,Account Expansion,2024-09-04,2024-10-18,Closed Won,194404.64,
OPP-00462,,ACC-0052,Account Expansion,2024-10-28,2024-11-15,Closed Won,233989.09,
OPP-00463,,ACC-0200,Account Expansion,2023-05-21,2023-06-17,Closed Won,125802.07,
OPP-00464,,ACC-0141,Account Expansion,2024-03-27,,Proposal,206653.19,
OPP-00465,,ACC-0158,Account Expansion,2023-02-16,2023-04-06,Closed Won,67819.42,
OPP-00466,,ACC-0190,Account Expansion,2023-02-09,2023-02-27,Closed Lost,58539.25,Poor Fit
OPP-00467,,ACC-0187,Account Expansion,2023-02-05,2023-02-24,Closed Won,241575.06,
OPP-00468,,ACC-0009,Account Expansion,2023-01-13,2023-02-11,Closed Won,70088.55,
OPP-00469,,ACC-0224,Account Expansion,2023-01-02,2023-01-26,Closed Won,115796.11,
OPP-00470,,ACC-0136,Account Expansion,2023-09-01,2023-10-06,Closed Won,53706.0,
OPP-00471,,ACC-0076,Account Expansion,2023-09-12,,Negotiation,196634.59,
OPP-00472,,ACC-0006,Account Expansion,2023-11-14,,Negotiation,32050.07,
OPP-00473,,ACC-0043,Account Expansion,2023-10-30,2023-12-12,Closed Won,162203.08,
OPP-00474,,ACC-0133,Account Expansion,2024-07-29,,Proposal,94391.49,
OPP-00475,,ACC-0031,Account Expansion,2024-08-04,2024-09-10,Closed Won,142016.7,
OPP-00476,,ACC-0047,Account Expansion,2024-06-09,,Negotiation,220494.52,
OPP-00477,,ACC-0101,Account Expansion,2024-08-06,2024-09-14,Closed Won,201901.15,
OPP-00478,,ACC-0096,Account Expansion,2024-04-16,,Proposal,99129.37,
OPP-00479,,ACC-0173,Account Expansion,2023-07-19,2023-08-25,Closed Won,216983.25,
OPP-00480,,ACC-0100,Account Expansion,2023-08-26,2023-09-21,Closed Won,52588.56,
OPP-00481,,ACC-0091,Account Expansion,2024-04-13,2024-05-29,Closed Won,129198.43,
