case_id,customer_id,order_id,category,priority,created_date,resolved_date,resolution_hours,sla_hours,met_sla,status,csat_score
CASE-002094,CUST-013580,ORD-0058633,Delivery Issue,High,2023-03-31,2023-04-01,34.3,24,False,Resolved,3.0
CASE-002096,CUST-000348,ORD-0058712,Delivery Issue,Medium,2023-03-31,2023-04-01,33.1,48,True,Resolved,3.0
CASE-002097,CUST-033700,ORD-0058747,Delivery Issue,High,2023-03-31,2023-03-31,13.5,24,True,Resolved,4.0
CASE-002102,CUST-009848,ORD-0058939,Delivery Issue,High,2023-03-31,2023-03-31,12.7,24,True,Resolved,5.0
CASE-022820,CUST-008836,ORD-0057783,Return Request,Urgent,2023-03-31,2023-03-31,4.9,8,True,Resolved,4.0
CASE-022822,CUST-034657,ORD-0057820,Return Request,Urgent,2023-03-31,2023-03-31,2.0,8,True,Resolved,4.0
CASE-022823,CUST-011854,ORD-0057836,Return Request,Medium,2023-03-31,2023-03-31,17.1,48,True,Resolved,5.0
CASE-022825,CUST-029592,ORD-0057868,Return Request,Medium,2023-03-31,,,48,False,Escalated,
CASE-022826,CUST-007603,ORD-0057873,Return Request,High,2023-03-31,2023-03-31,11.4,24,True,Resolved,3.0
CASE-022834,CUST-026254,ORD-0058003,Return Request,Medium,2023-03-31,2023-04-02,50.9,48,False,Resolved,3.0
CASE-022835,CUST-014463,ORD-0058013,Return Request,Urgent,2023-03-31,2023-03-31,13.8,8,False,Resolved,2.0
CASE-022844,CUST-003358,ORD-0058182,Return Request,Low,2023-03-31,2023-04-02,59.7,72,True,Resolved,4.0
CASE-022847,CUST-027187,ORD-0058222,Return Request,Medium,2023-03-31,2023-04-01,39.4,48,True,Resolved,4.0
CASE-022853,CUST-007159,ORD-0058274,Return Request,Low,2023-03-31,2023-03-31,8.5,72,True,Resolved,3.0
CASE-022856,CUST-017070,ORD-0058353,Return Request,Low,2023-03-31,2023-03-31,21.0,72,True,Resolved,5.0
CASE-022865,CUST-009991,ORD-0058566,Return Request,Urgent,2023-03-31,2023-03-31,1.4,8,True,Resolved,5.0
CASE-022866,CUST-017737,ORD-0058575,Return Request,Low,2023-03-31,2023-04-02,55.5,72,True,Resolved,4.0
CASE-022874,CUST-017593,ORD-0058740,Return Request,Low,2023-03-31,2023-03-31,17.2,72,True,Resolved,5.0
CASE-022875,CUST-001788,ORD-0058760,Return Request,Low,2023-03-31,2023-04-03,84.9,72,False,Resolved,2.0
CASE-022876,CUST-012420,ORD-0058774,Return Request,Low,2023-03-31,2023-04-03,95.8,72,False,Resolved,3.0
CASE-022879,CUST-011648,ORD-0058838,Return Request,Low,2023-03-31,2023-04-01,33.9,72,True,Resolved,5.0
CASE-022888,CUST-021818,ORD-0059092,Return Request,Low,2023-03-31,2023-04-03,83.1,72,False,Resolved,3.0
CASE-022896,CUST-019231,ORD-0059334,Return Request,Medium,2023-03-31,2023-04-04,97.2,48,False,Resolved,4.0
CASE-022898,CUST-033955,ORD-0059347,Return Request,Low,2023-03-31,2023-04-04,109.6,72,False,Resolved,4.0
CASE-022900,CUST-018310,ORD-0059384,Return Request,Medium,2023-03-31,2023-03-31,15.3,48,True,Resolved,3.0
CASE-022901,CUST-017709,ORD-0059409,Return Request,Low,2023-03-31,2023-03-31,7.4,72,True,Resolved,4.0
CASE-022903,CUST-005792,ORD-0059439,Return Request,Urgent,2023-03-31,2023-03-31,2.5,8,True,Resolved,4.0
CASE-022906,CUST-011515,ORD-0059523,Return Request,Medium,2023-03-31,2023-03-31,20.9,48,True,Resolved,5.0
CASE-022909,CUST-001536,ORD-0059583,Return Request,Urgent,2023-03-31,2023-03-31,11.5,8,False,Resolved,3.0
CASE-022913,CUST-023201,ORD-0059657,Return Request,High,2023-03-31,2023-03-31,3.8,24,True,Resolved,2.0
CASE-047119,CUST-019904,ORD-0053779,Product Defect,High,2023-03-31,2023-03-31,7.4,24,True,Resolved,4.0
CASE-047131,CUST-026951,ORD-0054398,Product Defect,Low,2023-03-31,2023-03-31,16.4,72,True,Resolved,4.0
CASE-047133,CUST-014958,ORD-0054869,Product Defect,Medium,2023-03-31,2023-04-02,68.2,48,False,Resolved,3.0
CASE-047141,CUST-032084,ORD-0055717,Product Defect,High,2023-03-31,2023-04-01,31.4,24,False,Resolved,5.0
CASE-047150,CUST-028071,ORD-0056384,Product Defect,Urgent,2023-03-31,2023-03-31,1.1,8,True,Resolved,5.0
CASE-047154,CUST-010499,ORD-0056509,Product Defect,Medium,2023-03-31,2023-04-01,28.8,48,True,Resolved,4.0
CASE-047177,CUST-000218,ORD-0058673,Product Defect,Urgent,2023-03-31,2023-03-31,3.2,8,True,Resolved,5.0
CASE-053846,CUST-007744,ORD-0057293,Payment Issue,Medium,2023-03-31,2023-04-02,70.6,48,False,Resolved,3.0
CASE-053847,CUST-025033,ORD-0057531,Payment Issue,High,2023-03-31,,,24,False,Escalated,
CASE-053856,CUST-026455,ORD-0058358,Payment Issue,Low,2023-03-31,2023-04-02,50.3,72,True,Resolved,5.0
CASE-053863,CUST-028067,ORD-0058964,Payment Issue,Medium,2023-03-31,2023-04-01,28.8,48,True,Resolved,4.0
CASE-053865,CUST-006144,ORD-0059462,Payment Issue,Low,2023-03-31,2023-04-08,194.4,72,False,Resolved,3.0
CASE-053867,CUST-034175,ORD-0059645,Payment Issue,Medium,2023-03-31,2023-04-02,56.1,48,False,Resolved,4.0
CASE-057071,CUST-013905,,General Inquiry,Low,2023-03-31,2023-04-01,38.1,72,True,Resolved,5.0
CASE-057303,CUST-011679,,General Inquiry,Low,2023-03-31,2023-04-02,62.1,72,True,Resolved,5.0
CASE-057444,CUST-013935,,General Inquiry,Low,2023-03-31,2023-04-05,128.9,72,False,Resolved,4.0
CASE-057753,CUST-012919,,General Inquiry,Medium,2023-03-31,2023-03-31,6.8,48,True,Resolved,5.0
CASE-059230,CUST-014706,,General Inquiry,Medium,2023-03-31,2023-04-03,91.7,48,False,Resolved,2.0
CASE-059489,CUST-000649,,General Inquiry,Medium,2023-03-31,2023-04-01,41.3,48,True,Resolved,2.0
CASE-059801,CUST-020205,,General Inquiry,Low,2023-03-31,,,72,False,Open,
CASE-060229,CUST-029512,,General Inquiry,Low,2023-03-31,2023-04-05,127.6,72,False,Resolved,4.0
CASE-060486,CUST-027661,,General Inquiry,Medium,2023-03-31,2023-03-31,11.3,48,True,Resolved,5.0
CASE-060900,CUST-021327,,General Inquiry,Low,2023-03-31,2023-04-04,106.0,72,False,Resolved,3.0
CASE-060942,CUST-031221,,General Inquiry,Low,2023-03-31,2023-04-01,43.9,72,True,Resolved,2.0
CASE-060962,CUST-004451,,General Inquiry,Low,2023-03-31,2023-03-31,16.8,72,True,Resolved,4.0
CASE-061012,CUST-005550,,General Inquiry,Medium,2023-03-31,2023-04-03,89.3,48,False,Resolved,3.0
CASE-061035,CUST-006595,,General Inquiry,Low,2023-03-31,2023-03-31,5.4,72,True,Resolved,4.0
CASE-061982,CUST-033943,,General Inquiry,Low,2023-03-31,2023-03-31,7.1,72,True,Resolved,4.0
CASE-062900,CUST-034854,,General Inquiry,Urgent,2023-03-31,2023-03-31,6.0,8,True,Resolved,4.0
CASE-063148,CUST-025930,,General Inquiry,Medium,2023-03-31,2023-04-01,28.9,48,True,Resolved,5.0
CASE-063944,CUST-032244,,General Inquiry,Medium,2023-03-31,2023-04-01,42.9,48,True,Resolved,5.0
CASE-065018,CUST-007418,,General Inquiry,Medium,2023-03-31,2023-04-03,78.8,48,False,Resolved,5.0
CASE-002056,CUST-031358,ORD-0057172,Delivery Issue,Medium,2023-04-01,2023-04-02,38.4,48,True,Resolved,4.0
CASE-002061,CUST-020596,ORD-0057415,Delivery Issue,Urgent,2023-04-01,2023-04-01,9.9,8,False,Resolved,3.0
CASE-002063,CUST-014664,ORD-0057497,Delivery Issue,Medium,2023-04-01,2023-04-01,2.5,48,True,Resolved,4.0
CASE-002064,CUST-016044,ORD-0057560,Delivery Issue,High,2023-04-01,2023-04-01,11.7,24,True,Resolved,4.0
CASE-002067,CUST-004777,ORD-0057645,Delivery Issue,Urgent,2023-04-01,2023-04-01,11.4,8,False,Resolved,4.0
CASE-002072,CUST-032994,ORD-0057795,Delivery Issue,High,2023-04-01,2023-04-01,11.8,24,True,Resolved,5.0
CASE-002078,CUST-029848,ORD-0058071,Delivery Issue,Urgent,2023-04-01,2023-04-01,6.2,8,True,Resolved,4.0
CASE-002083,CUST-021017,ORD-0058186,Delivery Issue,Low,2023-04-01,2023-04-03,70.3,72,True,Resolved,4.0
CASE-002086,CUST-017070,ORD-0058353,Delivery Issue,Medium,2023-04-01,2023-04-02,38.9,48,True,Resolved,5.0
CASE-002087,CUST-006320,ORD-0058373,Delivery Issue,Low,2023-04-01,2023-04-06,132.7,72,False,Resolved,3.0
CASE-002095,CUST-011755,ORD-0058647,Delivery Issue,High,2023-04-01,2023-04-01,17.9,24,True,Resolved,4.0
CASE-002099,CUST-005738,ORD-0058900,Delivery Issue,Medium,2023-04-01,2023-04-01,9.3,48,True,Resolved,4.0
CASE-002103,CUST-032050,ORD-0058972,Delivery Issue,Low,2023-04-01,2023-04-05,110.2,72,False,Resolved,3.0
CASE-002104,CUST-028886,ORD-0059003,Delivery Issue,High,2023-04-01,2023-04-01,6.3,24,True,Resolved,5.0
CASE-002105,CUST-034307,ORD-0059005,Delivery Issue,High,2023-04-01,2023-04-01,9.8,24,True,Resolved,4.0
CASE-002108,CUST-001812,ORD-0059257,Delivery Issue,Medium,2023-04-01,,,48,False,Escalated,
CASE-002109,CUST-012876,ORD-0059265,Delivery Issue,Urgent,2023-04-01,2023-04-01,0.9,8,True,Resolved,5.0
CASE-002110,CUST-019985,ORD-0059301,Delivery Issue,Low,2023-04-01,2023-04-11,240.7,72,False,Resolved,5.0
CASE-002113,CUST-028437,ORD-0059453,Delivery Issue,High,2023-04-01,2023-04-01,11.0,24,True,Resolved,3.0
CASE-002114,CUST-008302,ORD-0059515,Delivery Issue,Low,2023-04-01,,,72,False,Open,
CASE-022855,CUST-005741,ORD-0058343,Return Request,Urgent,2023-04-01,,,8,False,Escalated,
CASE-022857,CUST-027867,ORD-0058380,Return Request,Low,2023-04-01,2023-04-05,112.7,72,False,Resolved,3.0
CASE-022864,CUST-030328,ORD-0058561,Return Request,Low,2023-04-01,2023-04-02,32.9,72,True,Resolved,3.0
CASE-022867,CUST-023038,ORD-0058588,Return Request,Low,2023-04-01,2023-04-04,88.4,72,False,Resolved,3.0
CASE-022870,CUST-033496,ORD-0058639,Return Request,High,2023-04-01,2023-04-01,16.3,24,True,Resolved,3.0
CASE-022878,CUST-014215,ORD-0058836,Return Request,High,2023-04-01,2023-04-01,7.7,24,True,Resolved,4.0
CASE-022882,CUST-005337,ORD-0058950,Return Request,Low,2023-04-01,2023-04-02,39.6,72,True,Resolved,5.0
CASE-022884,CUST-001097,ORD-0058970,Return Request,Low,2023-04-01,2023-04-04,73.1,72,False,Resolved,3.0
CASE-022885,CUST-006229,ORD-0059012,Return Request,Medium,2023-04-01,2023-04-04,78.6,48,False,Resolved,3.0
CASE-022886,CUST-000657,ORD-0059020,Return Request,Urgent,2023-04-01,2023-04-01,15.5,8,False,Resolved,4.0
CASE-022887,CUST-014557,ORD-0059033,Return Request,Medium,2023-04-01,2023-04-03,70.1,48,False,Resolved,4.0
CASE-022891,CUST-031918,ORD-0059221,Return Request,Low,2023-04-01,2023-04-04,82.4,72,False,Resolved,3.0
CASE-022894,CUST-033657,ORD-0059324,Return Request,Medium,2023-04-01,2023-04-02,30.8,48,True,Resolved,4.0
CASE-022895,CUST-006146,ORD-0059325,Return Request,Urgent,2023-04-01,2023-04-01,3.8,8,True,Resolved,5.0
CASE-022902,CUST-007349,ORD-0059438,Return Request,High,2023-04-01,2023-04-01,21.4,24,True,Resolved,4.0
CASE-022907,CUST-003123,ORD-0059548,Return Request,High,2023-04-01,2023-04-01,14.8,24,True,Resolved,5.0
CASE-022908,CUST-016345,ORD-0059551,Return Request,Medium,2023-04-01,2023-04-04,81.2,48,False,Resolved,3.0
CASE-022910,CUST-006711,ORD-0059589,Return Request,Low,2023-04-01,2023-04-01,10.4,72,True,Resolved,5.0
CASE-022917,CUST-020448,ORD-0059721,Return Request,Urgent,2023-04-01,2023-04-01,5.6,8,True,Resolved,4.0
CASE-022918,CUST-022210,ORD-0059725,Return Request,Low,2023-04-01,2023-04-03,68.3,72,True,Resolved,4.0
CASE-022919,CUST-012876,ORD-0059743,Return Request,High,2023-04-01,2023-04-02,28.3,24,False,Resolved,4.0
CASE-022923,CUST-014727,ORD-0059780,Return Request,Low,2023-04-01,2023-04-02,39.5,72,True,Resolved,4.0
CASE-022928,CUST-004274,ORD-0059922,Return Request,Low,2023-04-01,2023-04-06,120.6,72,False,Resolved,2.0
CASE-022932,CUST-025543,ORD-0059986,Return Request,High,2023-04-01,2023-04-02,32.8,24,False,Resolved,3.0
CASE-022935,CUST-006229,ORD-0060057,Return Request,Low,2023-04-01,2023-04-04,79.6,72,False,Resolved,5.0
CASE-022936,CUST-034981,ORD-0060064,Return Request,Medium,2023-04-01,2023-04-02,40.7,48,True,Resolved,5.0
CASE-022938,CUST-033467,ORD-0060078,Return Request,Low,2023-04-01,2023-04-03,54.3,72,True,Resolved,4.0
CASE-047134,CUST-033496,ORD-0054915,Product Defect,High,2023-04-01,2023-04-01,18.8,24,True,Resolved,5.0
CASE-047137,CUST-032290,ORD-0055223,Product Defect,Medium,2023-04-01,2023-04-01,5.5,48,True,Resolved,4.0
CASE-047145,CUST-003265,ORD-0055927,Product Defect,Urgent,2023-04-01,2023-04-01,4.0,8,True,Resolved,5.0
CASE-047155,CUST-032082,ORD-0056536,Product Defect,Urgent,2023-04-01,2023-04-01,1.8,8,True,Resolved,5.0
CASE-047171,CUST-034279,ORD-0057656,Product Defect,Urgent,2023-04-01,2023-04-01,0.7,8,True,Resolved,4.0
CASE-047173,CUST-009604,ORD-0057943,Product Defect,Medium,2023-04-01,2023-04-05,99.8,48,False,Resolved,1.0
CASE-047175,CUST-017070,ORD-0058353,Product Defect,Medium,2023-04-01,2023-04-05,105.4,48,False,Resolved,3.0
CASE-047178,CUST-030004,ORD-0058772,Product Defect,Low,2023-04-01,2023-04-04,84.5,72,False,Resolved,4.0
CASE-053851,CUST-024661,ORD-0057934,Payment Issue,Low,2023-04-01,2023-04-01,21.1,72,True,Resolved,3.0
CASE-053858,CUST-033519,ORD-0058716,Payment Issue,Urgent,2023-04-01,2023-04-01,6.1,8,True,Resolved,4.0
CASE-053862,CUST-017481,ORD-0058946,Payment Issue,Low,2023-04-01,2023-04-03,62.8,72,True,Resolved,4.0
CASE-053864,CUST-013640,ORD-0059192,Payment Issue,High,2023-04-01,2023-04-01,10.2,24,True,Resolved,4.0
CASE-058868,CUST-023638,,General Inquiry,Medium,2023-04-01,2023-04-03,71.0,48,False,Resolved,4.0
CASE-059309,CUST-000439,,General Inquiry,High,2023-04-01,2023-04-01,18.8,24,True,Resolved,4.0
CASE-059800,CUST-015399,,General Inquiry,Low,2023-04-01,2023-04-02,40.3,72,True,Resolved,4.0
CASE-060327,CUST-027486,,General Inquiry,Medium,2023-04-01,2023-04-04,91.4,48,False,Resolved,3.0
CASE-060368,CUST-017174,,General Inquiry,Low,2023-04-01,2023-04-01,8.4,72,True,Resolved,4.0
CASE-060699,CUST-009802,,General Inquiry,Medium,2023-04-01,2023-04-02,38.9,48,True,Resolved,4.0
CASE-063543,CUST-006184,,General Inquiry,Medium,2023-04-01,2023-04-02,28.4,48,True,Resolved,5.0
CASE-064286,CUST-003749,,General Inquiry,High,2023-04-01,2023-04-01,18.8,24,True,Resolved,4.0
CASE-065486,CUST-006483,,General Inquiry,Low,2023-04-01,2023-04-02,36.9,72,True,Resolved,4.0
CASE-002069,CUST-025543,ORD-0057741,Delivery Issue,High,2023-04-02,2023-04-02,19.0,24,True,Resolved,4.0
CASE-002070,CUST-019312,ORD-0057752,Delivery Issue,Low,2023-04-02,2023-04-02,16.6,72,True,Resolved,4.0
CASE-002074,CUST-029825,ORD-0057950,Delivery Issue,Low,2023-04-02,2023-04-05,76.7,72,False,Resolved,4.0
CASE-002079,CUST-023586,ORD-0058111,Delivery Issue,Urgent,2023-04-02,2023-04-02,6.2,8,True,Resolved,4.0
CASE-002092,CUST-009343,ORD-0058490,Delivery Issue,Low,2023-04-02,,,72,False,Open,
CASE-002093,CUST-012635,ORD-0058542,Delivery Issue,Urgent,2023-04-02,2023-04-02,1.5,8,True,Resolved,3.0
CASE-002098,CUST-014635,ORD-0058899,Delivery Issue,Medium,2023-04-02,2023-04-02,10.9,48,True,Resolved,4.0
CASE-002106,CUST-022327,ORD-0059048,Delivery Issue,Low,2023-04-02,2023-04-09,191.4,72,False,Resolved,4.0
CASE-002117,CUST-031485,ORD-0059649,Delivery Issue,High,2023-04-02,2023-04-03,25.4,24,False,Resolved,2.0
CASE-002121,CUST-014727,ORD-0059780,Delivery Issue,Medium,2023-04-02,2023-04-02,4.7,48,True,Resolved,4.0
CASE-002132,CUST-001060,ORD-0060027,Delivery Issue,High,2023-04-02,2023-04-02,13.7,24,True,Resolved,5.0
CASE-002135,CUST-001015,ORD-0060150,Delivery Issue,High,2023-04-02,2023-04-02,15.7,24,True,Resolved,5.0
CASE-022889,CUST-030125,ORD-0059123,Return Request,High,2023-04-02,2023-04-02,23.5,24,True,Resolved,3.0
CASE-022890,CUST-000589,ORD-0059181,Return Request,Medium,2023-04-02,2023-04-02,14.0,48,True,Resolved,4.0
CASE-022892,CUST-010893,ORD-0059263,Return Request,High,2023-04-02,2023-04-03,34.8,24,False,Resolved,4.0
CASE-022893,CUST-025636,ORD-0059286,Return Request,Medium,2023-04-02,2023-04-02,2.7,48,True,Resolved,5.0
CASE-022897,CUST-032618,ORD-0059338,Return Request,Low,2023-04-02,2023-04-04,68.3,72,True,Resolved,4.0
CASE-022899,CUST-005462,ORD-0059379,Return Request,High,2023-04-02,2023-04-02,16.0,24,True,Resolved,4.0
CASE-022904,CUST-015743,ORD-0059445,Return Request,Medium,2023-04-02,2023-04-02,10.2,48,True,Resolved,4.0
CASE-022905,CUST-004022,ORD-0059467,Return Request,Medium,2023-04-02,2023-04-02,6.4,48,True,Resolved,5.0
CASE-022911,CUST-011026,ORD-0059613,Return Request,High,2023-04-02,2023-04-06,115.2,24,False,Resolved,3.0
CASE-022912,CUST-027821,ORD-0059632,Return Request,Urgent,2023-04-02,2023-04-02,10.5,8,False,Resolved,2.0
CASE-022914,CUST-022111,ORD-0059691,Return Request,Medium,2023-04-02,2023-04-03,45.4,48,True,Resolved,3.0
CASE-022916,CUST-003606,ORD-0059695,Return Request,Low,2023-04-02,2023-04-05,88.7,72,False,Resolved,3.0
CASE-022920,CUST-018432,ORD-0059751,Return Request,Medium,2023-04-02,2023-04-03,30.6,48,True,Resolved,4.0
CASE-022922,CUST-026391,ORD-0059763,Return Request,Medium,2023-04-02,2023-04-03,30.4,48,True,Resolved,4.0
CASE-022924,CUST-028565,ORD-0059786,Return Request,High,2023-04-02,2023-04-02,20.8,24,True,Resolved,3.0
CASE-022926,CUST-022120,ORD-0059858,Return Request,Medium,2023-04-02,2023-04-03,33.3,48,True,Resolved,4.0
CASE-022927,CUST-027634,ORD-0059890,Return Request,Low,2023-04-02,2023-04-03,39.0,72,True,Resolved,4.0
CASE-022929,CUST-017040,ORD-0059929,Return Request,High,2023-04-02,,,24,False,Escalated,
CASE-022931,CUST-028199,ORD-0059933,Return Request,Low,2023-04-02,2023-04-02,7.3,72,True,Resolved,5.0
CASE-022933,CUST-017267,ORD-0060051,Return Request,Low,2023-04-02,2023-04-03,31.1,72,True,Resolved,5.0
CASE-022937,CUST-024223,ORD-0060077,Return Request,Medium,2023-04-02,,,48,False,Open,
CASE-022944,CUST-017988,ORD-0060208,Return Request,Low,2023-04-02,2023-04-03,42.3,72,True,Resolved,3.0
CASE-022946,CUST-008768,ORD-0060282,Return Request,Urgent,2023-04-02,2023-04-02,2.7,8,True,Resolved,4.0
CASE-022948,CUST-003954,ORD-0060331,Return Request,Low,2023-04-02,2023-04-08,159.3,72,False,Resolved,2.0
CASE-022950,CUST-012010,ORD-0060365,Return Request,Low,2023-04-02,2023-04-03,39.1,72,True,Resolved,5.0
CASE-022952,CUST-017456,ORD-0060393,Return Request,Low,2023-04-02,2023-04-02,13.3,72,True,Resolved,3.0
CASE-022954,CUST-011235,ORD-0060419,Return Request,Urgent,2023-04-02,2023-04-02,2.0,8,True,Resolved,5.0
CASE-022955,CUST-030810,ORD-0060428,Return Request,Low,2023-04-02,2023-04-06,103.2,72,False,Resolved,3.0
CASE-022957,CUST-008041,ORD-0060514,Return Request,Medium,2023-04-02,2023-04-03,46.5,48,True,Resolved,4.0
CASE-022960,CUST-009855,ORD-0060581,Return Request,Low,2023-04-02,2023-04-05,84.7,72,False,Resolved,2.0
CASE-022962,CUST-019197,ORD-0060587,Return Request,Low,2023-04-02,2023-04-03,40.8,72,True,Resolved,4.0
CASE-022964,CUST-033681,ORD-0060604,Return Request,Medium,2023-04-02,2023-04-04,58.1,48,False,Resolved,3.0
CASE-022969,CUST-021772,ORD-0060683,Return Request,Low,2023-04-02,,,72,False,Open,
CASE-047136,CUST-006865,ORD-0055154,Product Defect,Low,2023-04-02,2023-04-06,114.1,72,False,Resolved,3.0
CASE-047152,CUST-022865,ORD-0056442,Product Defect,Medium,2023-04-02,2023-04-02,6.9,48,True,Resolved,4.0
CASE-047158,CUST-012464,ORD-0056872,Product Defect,High,2023-04-02,2023-04-02,5.3,24,True,Resolved,5.0
CASE-047162,CUST-035613,ORD-0057258,Product Defect,High,2023-04-02,2023-04-02,8.4,24,True,Resolved,5.0
CASE-047166,CUST-008921,ORD-0057438,Product Defect,Low,2023-04-02,2023-04-05,76.8,72,False,Resolved,2.0
CASE-047167,CUST-015236,ORD-0057484,Product Defect,Medium,2023-04-02,2023-04-02,12.6,48,True,Resolved,5.0
CASE-047190,CUST-021018,ORD-0059775,Product Defect,Medium,2023-04-02,2023-04-03,26.5,48,True,Resolved,5.0
CASE-053860,CUST-020822,ORD-0058874,Payment Issue,Low,2023-04-02,2023-04-02,15.7,72,True,Resolved,4.0
CASE-053866,CUST-034056,ORD-0059571,Payment Issue,Medium,2023-04-02,2023-04-03,39.8,48,True,Resolved,4.0
CASE-053872,CUST-015146,ORD-0060438,Payment Issue,Urgent,2023-04-02,2023-04-02,3.2,8,True,Resolved,3.0
CASE-057545,CUST-020827,,General Inquiry,Medium,2023-04-02,2023-04-02,21.5,48,True,Resolved,5.0
CASE-057852,CUST-009742,,General Inquiry,Urgent,2023-04-02,2023-04-02,3.3,8,True,Resolved,5.0
CASE-057877,CUST-009945,,General Inquiry,Urgent,2023-04-02,2023-04-02,2.0,8,True,Resolved,4.0
CASE-058127,CUST-013905,,General Inquiry,Medium,2023-04-02,2023-04-04,50.6,48,False,Resolved,4.0
CASE-058129,CUST-008568,,General Inquiry,Medium,2023-04-02,2023-04-03,28.7,48,True,Resolved,5.0
CASE-058177,CUST-026419,,General Inquiry,Medium,2023-04-02,2023-04-03,40.8,48,True,Resolved,3.0
CASE-059859,CUST-000006,,General Inquiry,Medium,2023-04-02,2023-04-02,14.8,48,True,Resolved,3.0
CASE-060441,CUST-035197,,General Inquiry,High,2023-04-02,2023-04-03,41.9,24,False,Resolved,2.0
CASE-060880,CUST-011974,,General Inquiry,Low,2023-04-02,2023-04-04,65.0,72,True,Resolved,5.0
CASE-061791,CUST-011126,,General Inquiry,Medium,2023-04-02,2023-04-03,33.6,48,True,Resolved,5.0
CASE-061932,CUST-002972,,General Inquiry,Medium,2023-04-02,2023-04-03,37.1,48,True,Resolved,3.0
CASE-062728,CUST-008245,,General Inquiry,Urgent,2023-04-02,2023-04-02,14.3,8,False,Resolved,2.0
CASE-063064,CUST-001892,,General Inquiry,High,2023-04-02,,,24,False,Open,
CASE-064960,CUST-035323,,General Inquiry,Low,2023-04-02,2023-04-06,111.6,72,False,Resolved,3.0
CASE-065434,CUST-009827,,General Inquiry,Low,2023-04-02,,,72,False,Escalated,
CASE-065439,CUST-034894,,General Inquiry,Medium,2023-04-02,2023-04-07,130.4,48,False,Resolved,5.0
CASE-065617,CUST-028987,,General Inquiry,High,2023-04-02,2023-04-02,7.2,24,True,Resolved,4.0
CASE-002089,CUST-035445,ORD-0058449,Delivery Issue,Urgent,2023-04-03,2023-04-03,12.4,8,False,Resolved,3.0
CASE-002100,CUST-032403,ORD-0058908,Delivery Issue,High,2023-04-03,2023-04-03,8.7,24,True,Resolved,4.0
CASE-002101,CUST-010062,ORD-0058920,Delivery Issue,Low,2023-04-03,2023-04-06,95.6,72,False,Resolved,3.0
CASE-002107,CUST-025791,ORD-0059173,Delivery Issue,Medium,2023-04-03,2023-04-04,26.7,48,True,Resolved,5.0
CASE-002111,CUST-029315,ORD-0059317,Delivery Issue,Low,2023-04-03,2023-04-04,26.6,72,True,Resolved,5.0
CASE-002112,CUST-005613,ORD-0059429,Delivery Issue,High,2023-04-03,2023-04-03,18.4,24,True,Resolved,4.0
CASE-002115,CUST-013501,ORD-0059626,Delivery Issue,Low,2023-04-03,2023-04-03,11.2,72,True,Resolved,3.0
CASE-002123,CUST-019266,ORD-0059874,Delivery Issue,Medium,2023-04-03,,,48,False,Open,
CASE-002124,CUST-000960,ORD-0059926,Delivery Issue,Medium,2023-04-03,2023-04-03,5.7,48,True,Resolved,5.0
CASE-002125,CUST-028530,ORD-0059945,Delivery Issue,Urgent,2023-04-03,2023-04-03,3.1,8,True,Resolved,5.0
CASE-002127,CUST-021041,ORD-0059957,Delivery Issue,Low,2023-04-03,2023-04-04,47.1,72,True,Resolved,5.0
CASE-002134,CUST-007723,ORD-0060132,Delivery Issue,Low,2023-04-03,2023-04-03,19.1,72,True,Resolved,4.0
CASE-002140,CUST-000846,ORD-0060295,Delivery Issue,Medium,2023-04-03,2023-04-04,32.8,48,True,Resolved,5.0
CASE-002144,CUST-032282,ORD-0060343,Delivery Issue,Medium,2023-04-03,2023-04-04,46.4,48,True,Resolved,4.0
CASE-002149,CUST-025486,ORD-0060437,Delivery Issue,Medium,2023-04-03,2023-04-03,2.2,48,True,Resolved,4.0
CASE-002154,CUST-019197,ORD-0060587,Delivery Issue,Low,2023-04-03,2023-04-08,127.2,72,False,Resolved,3.0
CASE-002155,CUST-004712,ORD-0060651,Delivery Issue,Low,2023-04-03,2023-04-03,20.2,72,True,Resolved,5.0
CASE-002158,CUST-013951,ORD-0060695,Delivery Issue,High,2023-04-03,2023-04-03,7.2,24,True,Resolved,4.0
CASE-002159,CUST-028794,ORD-0060697,Delivery Issue,Urgent,2023-04-03,2023-04-03,4.9,8,True,Resolved,5.0
CASE-002160,CUST-018096,ORD-0060721,Delivery Issue,Urgent,2023-04-03,,,8,False,Open,
CASE-002161,CUST-027387,ORD-0060724,Delivery Issue,High,2023-04-03,2023-04-03,11.8,24,True,Resolved,4.0
CASE-022915,CUST-035883,ORD-0059694,Return Request,Low,2023-04-03,2023-04-04,33.9,72,True,Resolved,5.0
CASE-022921,CUST-012841,ORD-0059755,Return Request,Low,2023-04-03,2023-04-06,80.7,72,False,Resolved,5.0
CASE-022925,CUST-007480,ORD-0059844,Return Request,High,2023-04-03,2023-04-03,23.5,24,True,Resolved,4.0
CASE-022930,CUST-013467,ORD-0059930,Return Request,Medium,2023-04-03,2023-04-03,20.4,48,True,Resolved,4.0
CASE-022934,CUST-002160,ORD-0060056,Return Request,Medium,2023-04-03,2023-04-03,21.8,48,True,Resolved,5.0
CASE-022939,CUST-016388,ORD-0060109,Return Request,Urgent,2023-04-03,2023-04-03,12.7,8,False,Resolved,4.0
CASE-022940,CUST-018270,ORD-0060121,Return Request,High,2023-04-03,2023-04-03,18.8,24,True,Resolved,5.0
