activity_id,regarding_type,regarding_id,activity_type,activity_date
ACT-0000997,Lead,LEAD-00406,Task,2022-04-17
ACT-0002524,Opportunity,OPP-00161,Phone Call,2022-04-17
ACT-0000951,Lead,LEAD-00385,Meeting,2022-04-19
ACT-0001170,Lead,LEAD-00472,Email,2022-04-22
ACT-0002760,Opportunity,OPP-00220,Email,2022-04-22
ACT-0000401,Lead,LEAD-00163,Phone Call,2022-04-23
ACT-0002312,Opportunity,OPP-00108,Task,2022-04-23
ACT-0000778,Lead,LEAD-00309,Email,2022-04-24
ACT-0003716,Opportunity,OPP-00456,Phone Call,2022-04-24
ACT-0001391,Lead,LEAD-00557,Phone Call,2022-04-25
ACT-0001930,Opportunity,OPP-00010,Email,2022-04-25
ACT-0003289,Opportunity,OPP-00349,Meeting,2022-04-25
ACT-0000732,Lead,LEAD-00292,Task,2022-04-26
ACT-0001392,Lead,LEAD-00557,Phone Call,2022-04-26
ACT-0002313,Opportunity,OPP-00108,Phone Call,2022-04-26
ACT-0003461,Opportunity,OPP-00392,Phone Call,2022-04-26
ACT-0000400,Lead,LEAD-00163,Email,2022-04-27
ACT-0003288,Opportunity,OPP-00349,Email,2022-04-27
ACT-0001393,Lead,LEAD-00557,Phone Call,2022-04-28
ACT-0001394,Lead,LEAD-00557,Task,2022-04-29
ACT-0000057,Lead,LEAD-00024,Phone Call,2022-04-30
ACT-0002525,Opportunity,OPP-00161,Phone Call,2022-04-30
ACT-0003175,Opportunity,OPP-00319,Task,2022-04-30
ACT-0001778,Lead,LEAD-00710,Phone Call,2022-05-01
ACT-0002523,Opportunity,OPP-00161,Email,2022-05-01
ACT-0001169,Lead,LEAD-00472,Phone Call,2022-05-02
ACT-0003014,Opportunity,OPP-00281,Phone Call,2022-05-02
ACT-0003178,Opportunity,OPP-00319,Email,2022-05-02
ACT-0001780,Lead,LEAD-00710,Task,2022-05-03
ACT-0001978,Opportunity,OPP-00024,Email,2022-05-03
ACT-0003295,Opportunity,OPP-00351,Email,2022-05-03
ACT-0000572,Lead,LEAD-00228,Meeting,2022-05-04
ACT-0000733,Lead,LEAD-00292,Email,2022-05-04
ACT-0001979,Opportunity,OPP-00024,Task,2022-05-04
ACT-0002699,Opportunity,OPP-00205,Phone Call,2022-05-04
ACT-0003015,Opportunity,OPP-00281,Task,2022-05-04
ACT-0003220,Opportunity,OPP-00331,Phone Call,2022-05-04
ACT-0000402,Lead,LEAD-00163,Email,2022-05-05
ACT-0001310,Lead,LEAD-00526,Phone Call,2022-05-05
ACT-0001691,Lead,LEAD-00677,Task,2022-05-05
ACT-0001692,Lead,LEAD-00677,Phone Call,2022-05-05
ACT-0003459,Opportunity,OPP-00392,Phone Call,2022-05-05
ACT-0002457,Opportunity,OPP-00145,Phone Call,2022-05-06
ACT-0002521,Opportunity,OPP-00161,Phone Call,2022-05-06
ACT-0000731,Lead,LEAD-00292,Phone Call,2022-05-07
ACT-0001377,Lead,LEAD-00550,Email,2022-05-08
ACT-0003219,Opportunity,OPP-00331,Email,2022-05-08
ACT-0002459,Opportunity,OPP-00145,Task,2022-05-10
ACT-0002700,Opportunity,OPP-00205,Phone Call,2022-05-10
ACT-0000709,Lead,LEAD-00282,Phone Call,2022-05-11
ACT-0001120,Lead,LEAD-00452,Email,2022-05-11
ACT-0001689,Lead,LEAD-00676,Email,2022-05-11
ACT-0003017,Opportunity,OPP-00281,Email,2022-05-11
ACT-0000611,Lead,LEAD-00245,Phone Call,2022-05-12
ACT-0000942,Lead,LEAD-00379,Email,2022-05-12
ACT-0002530,Opportunity,OPP-00162,Email,2022-05-12
ACT-0001172,Lead,LEAD-00474,Email,2022-05-13
ACT-0003177,Opportunity,OPP-00319,Phone Call,2022-05-13
ACT-0000941,Lead,LEAD-00379,Email,2022-05-14
ACT-0001779,Lead,LEAD-00710,Phone Call,2022-05-14
ACT-0002462,Opportunity,OPP-00145,Task,2022-05-14
ACT-0001309,Lead,LEAD-00526,Email,2022-05-16
ACT-0001690,Lead,LEAD-00676,Task,2022-05-16
ACT-0001980,Opportunity,OPP-00024,Email,2022-05-16
ACT-0003107,Opportunity,OPP-00301,Task,2022-05-16
ACT-0000573,Lead,LEAD-00228,Phone Call,2022-05-17
ACT-0000612,Lead,LEAD-00245,Task,2022-05-17
ACT-0003174,Opportunity,OPP-00319,Phone Call,2022-05-17
ACT-0000708,Lead,LEAD-00282,Phone Call,2022-05-18
ACT-0001117,Lead,LEAD-00452,Phone Call,2022-05-18
ACT-0001119,Lead,LEAD-00452,Task,2022-05-18
ACT-0001981,Opportunity,OPP-00024,Email,2022-05-18
ACT-0000610,Lead,LEAD-00245,Email,2022-05-19
ACT-0000710,Lead,LEAD-00282,Email,2022-05-19
ACT-0002527,Opportunity,OPP-00162,Email,2022-05-19
ACT-0000711,Lead,LEAD-00282,Phone Call,2022-05-20
ACT-0001118,Lead,LEAD-00452,Phone Call,2022-05-20
ACT-0001375,Lead,LEAD-00550,Task,2022-05-20
ACT-0001477,Lead,LEAD-00586,Email,2022-05-20
ACT-0001982,Opportunity,OPP-00024,Task,2022-05-20
ACT-0001378,Lead,LEAD-00550,Phone Call,2022-05-21
ACT-0003106,Opportunity,OPP-00301,Phone Call,2022-05-21
ACT-0002460,Opportunity,OPP-00145,Phone Call,2022-05-23
ACT-0001376,Lead,LEAD-00550,Phone Call,2022-05-24
ACT-0000040,Lead,LEAD-00017,Meeting,2022-05-25
ACT-0001087,Lead,LEAD-00438,Email,2022-05-25
ACT-0000014,Lead,LEAD-00007,Meeting,2022-05-27
ACT-0001949,Opportunity,OPP-00017,Phone Call,2022-05-27
ACT-0000390,Lead,LEAD-00159,Email,2022-05-28
ACT-0001086,Lead,LEAD-00438,Phone Call,2022-05-29
ACT-0003447,Opportunity,OPP-00389,Phone Call,2022-05-29
ACT-0001085,Lead,LEAD-00438,Phone Call,2022-05-30
ACT-0002792,Opportunity,OPP-00228,Email,2022-05-31
ACT-0000391,Lead,LEAD-00159,Email,2022-06-01
ACT-0002531,Opportunity,OPP-00162,Phone Call,2022-06-01
ACT-0001289,Lead,LEAD-00518,Email,2022-06-03
ACT-0001476,Lead,LEAD-00586,Phone Call,2022-06-03
ACT-0000372,Lead,LEAD-00153,Email,2022-06-04
ACT-0001451,Lead,LEAD-00577,Email,2022-06-04
ACT-0001771,Lead,LEAD-00707,Meeting,2022-06-04
ACT-0003173,Opportunity,OPP-00319,Phone Call,2022-06-04
ACT-0000389,Lead,LEAD-00159,Phone Call,2022-06-05
ACT-0002534,Opportunity,OPP-00163,Phone Call,2022-06-05
ACT-0003300,Opportunity,OPP-00353,Email,2022-06-05
ACT-0000371,Lead,LEAD-00153,Email,2022-06-06
ACT-0000388,Lead,LEAD-00159,Task,2022-06-06
ACT-0000580,Lead,LEAD-00231,Phone Call,2022-06-06
ACT-0001290,Lead,LEAD-00518,Email,2022-06-06
ACT-0001481,Lead,LEAD-00588,Phone Call,2022-06-06
ACT-0002529,Opportunity,OPP-00162,Task,2022-06-06
ACT-0003445,Opportunity,OPP-00389,Phone Call,2022-06-06
ACT-0000441,Lead,LEAD-00181,Phone Call,2022-06-07
ACT-0001291,Lead,LEAD-00518,Phone Call,2022-06-08
ACT-0003176,Opportunity,OPP-00319,Task,2022-06-08
ACT-0000444,Lead,LEAD-00181,Meeting,2022-06-09
ACT-0001480,Lead,LEAD-00588,Phone Call,2022-06-09
ACT-0000415,Lead,LEAD-00169,Phone Call,2022-06-10
ACT-0000442,Lead,LEAD-00181,Email,2022-06-12
ACT-0000578,Lead,LEAD-00231,Email,2022-06-12
ACT-0001450,Lead,LEAD-00577,Email,2022-06-12
ACT-0000771,Lead,LEAD-00306,Email,2022-06-13
ACT-0001090,Lead,LEAD-00440,Phone Call,2022-06-13
ACT-0003253,Opportunity,OPP-00340,Meeting,2022-06-13
ACT-0000998,Lead,LEAD-00407,Email,2022-06-14
ACT-0000443,Lead,LEAD-00181,Email,2022-06-15
ACT-0001609,Lead,LEAD-00646,Phone Call,2022-06-15
ACT-0002555,Opportunity,OPP-00169,Email,2022-06-15
ACT-0000768,Lead,LEAD-00306,Meeting,2022-06-16
ACT-0001769,Lead,LEAD-00707,Email,2022-06-16
ACT-0002528,Opportunity,OPP-00162,Task,2022-06-16
ACT-0003448,Opportunity,OPP-00389,Task,2022-06-16
ACT-0000809,Lead,LEAD-00321,Phone Call,2022-06-17
ACT-0001452,Lead,LEAD-00577,Meeting,2022-06-17
ACT-0001770,Lead,LEAD-00707,Phone Call,2022-06-17
ACT-0002865,Opportunity,OPP-00245,Email,2022-06-17
ACT-0000685,Lead,LEAD-00274,Email,2022-06-18
ACT-0001449,Lead,LEAD-00577,Email,2022-06-18
ACT-0001610,Lead,LEAD-00646,Email,2022-06-18
ACT-0001785,Lead,LEAD-00713,Phone Call,2022-06-18
ACT-0001821,Lead,LEAD-00728,Phone Call,2022-06-18
ACT-0001916,Opportunity,OPP-00007,Email,2022-06-18
ACT-0000810,Lead,LEAD-00321,Phone Call,2022-06-19
ACT-0001231,Lead,LEAD-00497,Task,2022-06-19
ACT-0002368,Opportunity,OPP-00122,Phone Call,2022-06-19
ACT-0002605,Opportunity,OPP-00181,Email,2022-06-19
ACT-0001950,Opportunity,OPP-00017,Email,2022-06-20
ACT-0002796,Opportunity,OPP-00228,Email,2022-06-20
ACT-0003271,Opportunity,OPP-00344,Task,2022-06-20
ACT-0003366,Opportunity,OPP-00371,Email,2022-06-20
ACT-0000769,Lead,LEAD-00306,Phone Call,2022-06-21
ACT-0001229,Lead,LEAD-00497,Phone Call,2022-06-21
ACT-0003368,Opportunity,OPP-00371,Task,2022-06-21
ACT-0003527,Opportunity,OPP-00409,Phone Call,2022-06-21
ACT-0000577,Lead,LEAD-00231,Email,2022-06-22
ACT-0000811,Lead,LEAD-00321,Meeting,2022-06-22
ACT-0000812,Lead,LEAD-00321,Email,2022-06-22
ACT-0001822,Lead,LEAD-00728,Email,2022-06-22
ACT-0000579,Lead,LEAD-00231,Email,2022-06-23
ACT-0001000,Lead,LEAD-00407,Meeting,2022-06-23
ACT-0002493,Opportunity,OPP-00153,Task,2022-06-23
ACT-0003254,Opportunity,OPP-00340,Email,2022-06-23
ACT-0003301,Opportunity,OPP-00353,Email,2022-06-23
ACT-0003449,Opportunity,OPP-00389,Phone Call,2022-06-23
ACT-0000091,Lead,LEAD-00037,Phone Call,2022-06-24
ACT-0000185,Lead,LEAD-00071,Phone Call,2022-06-24
ACT-0000186,Lead,LEAD-00071,Phone Call,2022-06-24
ACT-0000770,Lead,LEAD-00306,Email,2022-06-24
ACT-0000779,Lead,LEAD-00310,Phone Call,2022-06-24
ACT-0001150,Lead,LEAD-00465,Email,2022-06-24
ACT-0001820,Lead,LEAD-00728,Email,2022-06-24
ACT-0002491,Opportunity,OPP-00153,Phone Call,2022-06-24
ACT-0003429,Opportunity,OPP-00386,Phone Call,2022-06-24
ACT-0003431,Opportunity,OPP-00386,Phone Call,2022-06-24
ACT-0001279,Lead,LEAD-00515,Phone Call,2022-06-25
ACT-0001918,Opportunity,OPP-00007,Phone Call,2022-06-25
ACT-0002557,Opportunity,OPP-00169,Task,2022-06-25
ACT-0000445,Lead,LEAD-00182,Email,2022-06-26
ACT-0000446,Lead,LEAD-00182,Task,2022-06-26
ACT-0000851,Lead,LEAD-00337,Phone Call,2022-06-26
ACT-0003444,Opportunity,OPP-00389,Task,2022-06-26
ACT-0003640,Opportunity,OPP-00439,Email,2022-06-26
ACT-0000416,Lead,LEAD-00169,Phone Call,2022-06-27
ACT-0000915,Lead,LEAD-00368,Email,2022-06-27
ACT-0002516,Opportunity,OPP-00159,Task,2022-06-27
ACT-0003272,Opportunity,OPP-00344,Email,2022-06-27
ACT-0003452,Opportunity,OPP-00390,Phone Call,2022-06-27
ACT-0000916,Lead,LEAD-00368,Phone Call,2022-06-28
ACT-0000447,Lead,LEAD-00182,Email,2022-06-29
ACT-0000999,Lead,LEAD-00407,Meeting,2022-06-29
ACT-0001917,Opportunity,OPP-00007,Phone Call,2022-06-29
ACT-0002866,Opportunity,OPP-00245,Meeting,2022-06-29
ACT-0003250,Opportunity,OPP-00340,Phone Call,2022-06-29
ACT-0003428,Opportunity,OPP-00386,Phone Call,2022-06-29
ACT-0000848,Lead,LEAD-00337,Phone Call,2022-06-30
ACT-0002367,Opportunity,OPP-00122,Email,2022-06-30
ACT-0002791,Opportunity,OPP-00228,Email,2022-06-30
ACT-0003148,Opportunity,OPP-00310,Phone Call,2022-06-30
ACT-0000092,Lead,LEAD-00037,Phone Call,2022-07-01
ACT-0000513,Lead,LEAD-00207,Task,2022-07-01
ACT-0000514,Lead,LEAD-00207,Email,2022-07-01
ACT-0003251,Opportunity,OPP-00340,Phone Call,2022-07-01
ACT-0003525,Opportunity,OPP-00409,Phone Call,2022-07-01
ACT-0000849,Lead,LEAD-00337,Email,2022-07-02
ACT-0000850,Lead,LEAD-00337,Email,2022-07-02
ACT-0001040,Lead,LEAD-00421,Phone Call,2022-07-02
ACT-0003367,Opportunity,OPP-00371,Phone Call,2022-07-02
ACT-0000184,Lead,LEAD-00071,Phone Call,2022-07-03
ACT-0002867,Opportunity,OPP-00245,Meeting,2022-07-04
ACT-0003446,Opportunity,OPP-00389,Phone Call,2022-07-04
ACT-0000103,Lead,LEAD-00041,Email,2022-07-05
ACT-0001230,Lead,LEAD-00497,Task,2022-07-05
ACT-0003249,Opportunity,OPP-00340,Meeting,2022-07-05
ACT-0000163,Lead,LEAD-00062,Meeting,2022-07-06
ACT-0001039,Lead,LEAD-00421,Task,2022-07-06
ACT-0001638,Lead,LEAD-00655,Task,2022-07-06
ACT-0001743,Lead,LEAD-00697,Phone Call,2022-07-06
ACT-0001746,Lead,LEAD-00697,Task,2022-07-06
ACT-0002795,Opportunity,OPP-00228,Phone Call,2022-07-06
ACT-0000624,Lead,LEAD-00250,Phone Call,2022-07-07
ACT-0001232,Lead,LEAD-00497,Email,2022-07-07
ACT-0001280,Lead,LEAD-00515,Phone Call,2022-07-07
ACT-0001621,Lead,LEAD-00649,Email,2022-07-07
ACT-0001637,Lead,LEAD-00655,Phone Call,2022-07-07
ACT-0000093,Lead,LEAD-00037,Phone Call,2022-07-08
ACT-0001038,Lead,LEAD-00421,Phone Call,2022-07-08
ACT-0002532,Opportunity,OPP-00163,Task,2022-07-08
ACT-0003526,Opportunity,OPP-00409,Phone Call,2022-07-08
ACT-0001636,Lead,LEAD-00655,Email,2022-07-09
ACT-0002709,Opportunity,OPP-00207,Task,2022-07-09
ACT-0002794,Opportunity,OPP-00228,Phone Call,2022-07-09
ACT-0002556,Opportunity,OPP-00169,Task,2022-07-10
ACT-0003528,Opportunity,OPP-00409,Email,2022-07-10
ACT-0003675,Opportunity,OPP-00446,Email,2022-07-10
ACT-0001041,Lead,LEAD-00421,Phone Call,2022-07-11
ACT-0001618,Lead,LEAD-00649,Task,2022-07-11
ACT-0001754,Lead,LEAD-00702,Email,2022-07-11
ACT-0001757,Lead,LEAD-00702,Phone Call,2022-07-11
ACT-0002131,Opportunity,OPP-00062,Email,2022-07-12
ACT-0001744,Lead,LEAD-00697,Email,2022-07-13
ACT-0002492,Opportunity,OPP-00153,Phone Call,2022-07-13
ACT-0002710,Opportunity,OPP-00207,Phone Call,2022-07-13
ACT-0003450,Opportunity,OPP-00390,Meeting,2022-07-13
ACT-0002706,Opportunity,OPP-00207,Phone Call,2022-07-14
ACT-0002708,Opportunity,OPP-00207,Phone Call,2022-07-14
ACT-0002793,Opportunity,OPP-00228,Phone Call,2022-07-14
ACT-0001305,Lead,LEAD-00524,Phone Call,2022-07-15
ACT-0001755,Lead,LEAD-00702,Meeting,2022-07-15
ACT-0002603,Opportunity,OPP-00181,Phone Call,2022-07-15
ACT-0003252,Opportunity,OPP-00340,Email,2022-07-15
ACT-0001548,Lead,LEAD-00620,Email,2022-07-16
ACT-0002533,Opportunity,OPP-00163,Email,2022-07-16
ACT-0002707,Opportunity,OPP-00207,Phone Call,2022-07-16
ACT-0003000,Opportunity,OPP-00278,Task,2022-07-17
ACT-0001358,Lead,LEAD-00545,Phone Call,2022-07-18
ACT-0001360,Lead,LEAD-00545,Phone Call,2022-07-18
ACT-0001492,Lead,LEAD-00593,Phone Call,2022-07-18
ACT-0001619,Lead,LEAD-00649,Meeting,2022-07-18
ACT-0001756,Lead,LEAD-00702,Email,2022-07-18
ACT-0002998,Opportunity,OPP-00278,Phone Call,2022-07-18
ACT-0003074,Opportunity,OPP-00294,Phone Call,2022-07-18
ACT-0003672,Opportunity,OPP-00446,Phone Call,2022-07-18
ACT-0001330,Lead,LEAD-00534,Task,2022-07-20
ACT-0001491,Lead,LEAD-00593,Phone Call,2022-07-20
ACT-0002127,Opportunity,OPP-00062,Phone Call,2022-07-20
ACT-0003037,Opportunity,OPP-00286,Email,2022-07-20
ACT-0003073,Opportunity,OPP-00294,Phone Call,2022-07-20
ACT-0003362,Opportunity,OPP-00370,Email,2022-07-20
ACT-0003493,Opportunity,OPP-00401,Meeting,2022-07-21
ACT-0003524,Opportunity,OPP-00409,Task,2022-07-21
ACT-0003676,Opportunity,OPP-00446,Email,2022-07-21
ACT-0001919,Opportunity,OPP-00007,Phone Call,2022-07-22
ACT-0002515,Opportunity,OPP-00159,Email,2022-07-22
ACT-0000199,Lead,LEAD-00079,Email,2022-07-23
ACT-0000200,Lead,LEAD-00079,Email,2022-07-23
ACT-0001620,Lead,LEAD-00649,Phone Call,2022-07-23
ACT-0002167,Opportunity,OPP-00071,Task,2022-07-23
ACT-0003363,Opportunity,OPP-00370,Phone Call,2022-07-23
ACT-0003451,Opportunity,OPP-00390,Phone Call,2022-07-23
ACT-0003639,Opportunity,OPP-00439,Email,2022-07-23
ACT-0001304,Lead,LEAD-00524,Email,2022-07-24
ACT-0001745,Lead,LEAD-00697,Task,2022-07-24
ACT-0002130,Opportunity,OPP-00062,Phone Call,2022-07-24
ACT-0003430,Opportunity,OPP-00386,Email,2022-07-24
ACT-0000104,Lead,LEAD-00042,Email,2022-07-25
ACT-0002808,Opportunity,OPP-00231,Phone Call,2022-07-25
ACT-0001372,Lead,LEAD-00549,Phone Call,2022-07-27
ACT-0002809,Opportunity,OPP-00231,Phone Call,2022-07-27
ACT-0002999,Opportunity,OPP-00278,Meeting,2022-07-27
ACT-0001007,Lead,LEAD-00410,Phone Call,2022-07-28
ACT-0001373,Lead,LEAD-00549,Phone Call,2022-07-28
ACT-0001531,Lead,LEAD-00610,Phone Call,2022-07-28
ACT-0003673,Opportunity,OPP-00446,Email,2022-07-28
ACT-0001006,Lead,LEAD-00410,Task,2022-07-29
ACT-0001359,Lead,LEAD-00545,Phone Call,2022-07-29
ACT-0002604,Opportunity,OPP-00181,Phone Call,2022-07-29
ACT-0003494,Opportunity,OPP-00401,Phone Call,2022-07-29
ACT-0000105,Lead,LEAD-00042,Email,2022-07-30
ACT-0002494,Opportunity,OPP-00153,Email,2022-07-30
ACT-0003365,Opportunity,OPP-00370,Task,2022-07-30
ACT-0000277,Lead,LEAD-00109,Meeting,2022-07-31
ACT-0000278,Lead,LEAD-00109,Phone Call,2022-07-31
ACT-0003147,Opportunity,OPP-00310,Email,2022-07-31
ACT-0000276,Lead,LEAD-00109,Email,2022-08-01
ACT-0001325,Lead,LEAD-00532,Phone Call,2022-08-01
ACT-0001541,Lead,LEAD-00615,Email,2022-08-01
ACT-0001540,Lead,LEAD-00615,Phone Call,2022-08-02
ACT-0003072,Opportunity,OPP-00294,Task,2022-08-02
ACT-0001326,Lead,LEAD-00532,Task,2022-08-03
ACT-0001357,Lead,LEAD-00545,Meeting,2022-08-03
ACT-0003427,Opportunity,OPP-00386,Email,2022-08-03
ACT-0003491,Opportunity,OPP-00401,Email,2022-08-03
ACT-0000106,Lead,LEAD-00042,Phone Call,2022-08-04
ACT-0000506,Lead,LEAD-00203,Phone Call,2022-08-04
ACT-0002168,Opportunity,OPP-00071,Meeting,2022-08-04
ACT-0003674,Opportunity,OPP-00446,Phone Call,2022-08-04
ACT-0000275,Lead,LEAD-00109,Phone Call,2022-08-05
ACT-0001371,Lead,LEAD-00549,Meeting,2022-08-05
ACT-0001374,Lead,LEAD-00549,Email,2022-08-05
ACT-0000911,Lead,LEAD-00366,Email,2022-08-06
ACT-0002886,Opportunity,OPP-00250,Meeting,2022-08-06
ACT-0001149,Lead,LEAD-00464,Task,2022-08-07
ACT-0003360,Opportunity,OPP-00370,Phone Call,2022-08-07
ACT-0000912,Lead,LEAD-00366,Task,2022-08-08
ACT-0002039,Opportunity,OPP-00041,Phone Call,2022-08-08
ACT-0002128,Opportunity,OPP-00062,Task,2022-08-08
ACT-0000493,Lead,LEAD-00197,Phone Call,2022-08-09
ACT-0000978,Lead,LEAD-00398,Phone Call,2022-08-09
ACT-0002129,Opportunity,OPP-00062,Phone Call,2022-08-09
ACT-0002166,Opportunity,OPP-00071,Phone Call,2022-08-09
ACT-0002705,Opportunity,OPP-00207,Email,2022-08-09
ACT-0002204,Opportunity,OPP-00079,Email,2022-08-10
ACT-0002207,Opportunity,OPP-00079,Email,2022-08-10
ACT-0003036,Opportunity,OPP-00286,Phone Call,2022-08-10
ACT-0001539,Lead,LEAD-00615,Phone Call,2022-08-11
ACT-0000305,Lead,LEAD-00121,Task,2022-08-12
ACT-0002126,Opportunity,OPP-00062,Phone Call,2022-08-13
ACT-0003035,Opportunity,OPP-00286,Email,2022-08-13
ACT-0003495,Opportunity,OPP-00401,Task,2022-08-13
ACT-0000507,Lead,LEAD-00203,Email,2022-08-14
ACT-0002609,Opportunity,OPP-00182,Phone Call,2022-08-15
ACT-0002887,Opportunity,OPP-00250,Email,2022-08-15
ACT-0001148,Lead,LEAD-00464,Phone Call,2022-08-16
ACT-0002040,Opportunity,OPP-00041,Email,2022-08-17
ACT-0003001,Opportunity,OPP-00278,Email,2022-08-17
ACT-0003002,Opportunity,OPP-00278,Task,2022-08-17
ACT-0002169,Opportunity,OPP-00071,Meeting,2022-08-18
ACT-0002366,Opportunity,OPP-00121,Email,2022-08-18
ACT-0002997,Opportunity,OPP-00278,Email,2022-08-18
ACT-0001147,Lead,LEAD-00464,Task,2022-08-19
ACT-0003477,Opportunity,OPP-00397,Email,2022-08-19
ACT-0000890,Lead,LEAD-00357,Meeting,2022-08-20
ACT-0002608,Opportunity,OPP-00182,Email,2022-08-20
ACT-0003071,Opportunity,OPP-00294,Phone Call,2022-08-20
ACT-0002205,Opportunity,OPP-00079,Email,2022-08-21
ACT-0000925,Lead,LEAD-00371,Meeting,2022-08-22
ACT-0002038,Opportunity,OPP-00041,Phone Call,2022-08-22
ACT-0002365,Opportunity,OPP-00121,Email,2022-08-22
ACT-0003530,Opportunity,OPP-00410,Task,2022-08-22
ACT-0000019,Lead,LEAD-00009,Email,2022-08-23
ACT-0000891,Lead,LEAD-00357,Email,2022-08-23
ACT-0003529,Opportunity,OPP-00410,Phone Call,2022-08-23
ACT-0002888,Opportunity,OPP-00250,Email,2022-08-24
ACT-0003201,Opportunity,OPP-00325,Email,2022-08-24
ACT-0000306,Lead,LEAD-00121,Email,2022-08-25
ACT-0000818,Lead,LEAD-00325,Email,2022-08-25
ACT-0002041,Opportunity,OPP-00041,Email,2022-08-25
ACT-0002606,Opportunity,OPP-00182,Email,2022-08-25
ACT-0002037,Opportunity,OPP-00041,Phone Call,2022-08-26
ACT-0003492,Opportunity,OPP-00401,Phone Call,2022-08-26
ACT-0000819,Lead,LEAD-00325,Task,2022-08-27
ACT-0000923,Lead,LEAD-00371,Email,2022-08-27
ACT-0000924,Lead,LEAD-00371,Task,2022-08-27
ACT-0003200,Opportunity,OPP-00325,Phone Call,2022-08-27
ACT-0000922,Lead,LEAD-00371,Task,2022-08-28
ACT-0002026,Opportunity,OPP-00037,Meeting,2022-08-28
ACT-0003361,Opportunity,OPP-00370,Phone Call,2022-08-28
ACT-0003364,Opportunity,OPP-00370,Email,2022-08-28
ACT-0000752,Lead,LEAD-00299,Phone Call,2022-08-29
ACT-0000018,Lead,LEAD-00009,Email,2022-08-30
ACT-0003075,Opportunity,OPP-00294,Email,2022-08-30
ACT-0001627,Lead,LEAD-00651,Task,2022-09-01
ACT-0000017,Lead,LEAD-00009,Email,2022-09-02
ACT-0001410,Lead,LEAD-00564,Email,2022-09-02
ACT-0002208,Opportunity,OPP-00079,Task,2022-09-02
ACT-0000698,Lead,LEAD-00278,Phone Call,2022-09-03
ACT-0000893,Lead,LEAD-00357,Task,2022-09-04
ACT-0002206,Opportunity,OPP-00079,Task,2022-09-04
ACT-0000892,Lead,LEAD-00357,Meeting,2022-09-05
ACT-0001412,Lead,LEAD-00564,Email,2022-09-05
ACT-0001625,Lead,LEAD-00651,Meeting,2022-09-05
ACT-0003144,Opportunity,OPP-00309,Phone Call,2022-09-05
ACT-0003198,Opportunity,OPP-00325,Email,2022-09-05
ACT-0000695,Lead,LEAD-00278,Phone Call,2022-09-06
ACT-0001518,Lead,LEAD-00604,Phone Call,2022-09-07
ACT-0002025,Opportunity,OPP-00037,Email,2022-09-07
ACT-0000696,Lead,LEAD-00278,Phone Call,2022-09-08
ACT-0001519,Lead,LEAD-00604,Task,2022-09-09
ACT-0003142,Opportunity,OPP-00309,Meeting,2022-09-09
ACT-0001411,Lead,LEAD-00564,Email,2022-09-10
ACT-0000565,Lead,LEAD-00225,Email,2022-09-11
ACT-0000566,Lead,LEAD-00225,Phone Call,2022-09-11
ACT-0000697,Lead,LEAD-00278,Phone Call,2022-09-11
ACT-0000753,Lead,LEAD-00299,Phone Call,2022-09-11
ACT-0001926,Opportunity,OPP-00009,Email,2022-09-11
ACT-0002607,Opportunity,OPP-00182,Phone Call,2022-09-11
ACT-0003478,Opportunity,OPP-00397,Email,2022-09-11
ACT-0003484,Opportunity,OPP-00399,Task,2022-09-11
ACT-0001624,Lead,LEAD-00651,Phone Call,2022-09-12
ACT-0000336,Lead,LEAD-00135,Phone Call,2022-09-13
ACT-0001570,Lead,LEAD-00632,Phone Call,2022-09-13
ACT-0003145,Opportunity,OPP-00309,Phone Call,2022-09-13
ACT-0000564,Lead,LEAD-00225,Phone Call,2022-09-14
ACT-0001626,Lead,LEAD-00651,Email,2022-09-14
ACT-0000905,Lead,LEAD-00363,Task,2022-09-15
ACT-0003202,Opportunity,OPP-00325,Task,2022-09-15
ACT-0000563,Lead,LEAD-00225,Email,2022-09-16
ACT-0000906,Lead,LEAD-00363,Phone Call,2022-09-16
ACT-0000904,Lead,LEAD-00363,Phone Call,2022-09-17
ACT-0001925,Opportunity,OPP-00009,Phone Call,2022-09-17
ACT-0002043,Opportunity,OPP-00042,Email,2022-09-17
ACT-0003141,Opportunity,OPP-00309,Email,2022-09-17
ACT-0001520,Lead,LEAD-00604,Meeting,2022-09-18
ACT-0002042,Opportunity,OPP-00042,Meeting,2022-09-18
ACT-0003146,Opportunity,OPP-00309,Email,2022-09-18
ACT-0001825,Lead,LEAD-00730,Meeting,2022-09-19
ACT-0001871,Lead,LEAD-00749,Email,2022-09-20
ACT-0000429,Lead,LEAD-00176,Meeting,2022-09-21
ACT-0001079,Lead,LEAD-00435,Task,2022-09-21
ACT-0003199,Opportunity,OPP-00325,Meeting,2022-09-21
ACT-0003409,Opportunity,OPP-00382,Meeting,2022-09-22
ACT-0003486,Opportunity,OPP-00399,Meeting,2022-09-22
ACT-0000430,Lead,LEAD-00176,Phone Call,2022-09-23
ACT-0000798,Lead,LEAD-00317,Email,2022-09-23
ACT-0002417,Opportunity,OPP-00135,Task,2022-09-23
ACT-0002418,Opportunity,OPP-00135,Email,2022-09-24
ACT-0002693,Opportunity,OPP-00203,Meeting,2022-09-24
ACT-0003485,Opportunity,OPP-00399,Phone Call,2022-09-24
ACT-0000799,Lead,LEAD-00317,Task,2022-09-25
